,volume,CloudPrcYear
0,512.21,5.5057
1,512.21,none
2,519.59,16.4855
3,1031.8000000000002,none
4,488.7,14.8001
5,1520.5000000000002,none
6,792.87,3.2026
7,2313.3700000000003,none
8,473.03,2.4512
9,2786.4000000000005,none
10,493.77,0.0473
11,3280.1700000000005,none
12,498.55,0.05299999999999999
13,3778.7200000000007,none
14,475.16,0.0705
15,4253.880000000001,none
16,497.16,1.0401
17,4751.040000000001,none
18,489.37,0.8045000000000001
19,5240.410000000001,none
20,840.2,18.6738
21,6080.610000000001,none
22,824.35,7.324299999999999
23,6904.960000000001,none
24,867.25,6.472800000000001
25,7772.210000000001,none
26,857.02,7.6475
27,8629.230000000001,none
28,530.37,5.4522
29,9159.600000000002,none
30,825.74,4.9728
31,9985.340000000002,none
32,509.47,0.6143
33,10494.810000000001,none
34,495.61,0.0
35,10990.420000000002,none
36,800.64,0.0
37,11791.060000000001,none
38,795.93,0.0147
39,12586.990000000002,none
40,789.28,0.891
41,13376.270000000002,none
42,492.99,0.6044
43,13869.260000000002,none
44,501.76,2.8009000000000004
45,14371.020000000002,none
46,843.79,1.4431
47,15214.810000000001,none
48,803.63,0.2117
49,16018.44,none
50,779.56,43.6885
51,16798.0,none
52,780.07,14.6294
53,17578.07,none
54,778.72,1.8361000000000003
55,18356.79,none
56,792.63,0.2108
57,19149.420000000002,none
58,797.39,0.0
59,19946.81,none
60,801.99,0.0
61,20748.800000000003,none
62,787.42,6.482999999999999
63,21536.22,none
64,796.12,1.5021
65,22332.34,none
66,795.25,4.5867
67,23127.59,none
68,804.64,1.5089
69,23932.23,none
70,794.0,0.1473
71,24726.23,none
72,799.57,0.3223
73,25525.8,none
74,825.27,0.7998
75,26351.07,none
76,800.15,0.333
77,27151.22,none
78,648.44,1.1099
79,27799.66,none
80,790.49,0.2735
81,28590.15,none
82,798.24,0.0
83,29388.390000000003,none
84,810.73,0.0018000000000000002
85,30199.120000000003,none
86,803.2,0.0
87,31002.320000000003,none
88,794.04,9.9718
89,31796.360000000004,none
90,778.48,0.027700000000000002
91,32574.840000000004,none
92,802.47,1.7278
93,33377.310000000005,none
94,795.63,0.0
95,34172.94,none
96,627.42,2.9721
97,34800.36,none
98,844.07,9.814
99,35644.43,none
100,809.21,11.4882
101,36453.64,none
102,564.51,0.0152
103,37018.15,none
104,590.65,0.7605999999999999
105,37608.8,none
106,582.65,0.0
107,38191.450000000004,none
108,582.01,0.0
109,38773.46000000001,none
110,578.29,0.0
111,39351.75000000001,none
112,591.02,0.0045
113,39942.770000000004,none
114,808.2,0.0842
115,40750.97,none
116,833.08,14.953999999999999
117,41584.05,none
118,842.33,3.4549
119,42426.380000000005,none
120,619.79,11.682000000000002
121,43046.170000000006,none
122,609.59,10.3076
123,43655.76,none
124,857.37,3.3889000000000005
125,44513.130000000005,none
126,596.72,1.1922
127,45109.850000000006,none
128,823.3,0.0113
129,45933.15000000001,none
130,594.9,0.0
131,46528.05000000001,none
132,575.6,0.0
133,47103.65000000001,none
134,573.19,0.0
135,47676.84000000001,none
136,589.56,0.0
137,48266.40000000001,none
138,609.2,0.0
139,48875.600000000006,none
140,818.8,0.1315
141,49694.40000000001,none
142,628.15,0.096
143,50322.55000000001,none
144,695.74,5.7117
145,51018.29000000001,none
146,720.64,20.9869
147,51738.93000000001,none
148,674.97,15.9007
149,52413.90000000001,none
150,743.28,12.2168
151,53157.18000000001,none
152,770.58,2.5733
153,53927.76000000001,none
154,676.66,0.0518
155,54604.42000000001,none
156,684.83,0.0479
157,55289.250000000015,none
158,744.76,0.1228
159,56034.01000000002,none
160,751.24,2.2238
161,56785.250000000015,none
162,671.35,0.7352
163,57456.60000000001,none
164,795.87,23.2009
165,58252.470000000016,none
166,786.37,5.6427
167,59038.84000000002,none
168,849.18,7.0514
169,59888.02000000002,none
170,830.38,8.2797
171,60718.400000000016,none
172,728.16,5.8587
173,61446.56000000002,none
174,786.2,5.1266
175,62232.76000000002,none
176,703.91,1.3897
177,62936.67000000002,none
178,681.47,0.0
179,63618.14000000002,none
180,753.91,0.0
181,64372.050000000025,none
182,751.26,0.0129
183,65123.31000000003,none
184,737.49,2.6267
185,65860.80000000003,none
186,767.94,1.0587
187,66628.74000000003,none
188,695.24,2.182
189,67323.98000000004,none
190,805.34,1.53
191,68129.32000000004,none
192,793.78,0.0
193,68923.10000000003,none
194,770.07,34.8611
195,69693.17000000004,none
196,457.73,11.2901
197,70150.90000000004,none
198,794.38,7.563
199,70945.28000000004,none
200,787.71,0.2142
201,71732.99000000005,none
202,793.42,0.0
203,72526.41000000005,none
204,798.97,0.0
205,73325.38000000005,none
206,454.25,0.0
207,73779.63000000005,none
208,471.41,0.0
